username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Veektoreeya;2014-02-14 15:58;0;0;"@anthonyfedorov Happy Valentine's Day! With love from Ukraine :) #Euromaidan pic.twitter.com/S6TUkrgDtA";;@anthonyfedorov;#Euromaidan;"434476798542221312";https://twitter.com/Veektoreeya/status/434476798542221312
londonmaidan;2014-02-14 15:55;4;0;"#Euromaidan #London Sat at16pm Euromaidan London No. 60 - "Putin, hands off Ukraine!", "Pinchuk, you are responsible" https://www. facebook.com/events/2473334 72105940/?ref_newsfeed_story_type=regular …";;;#Euromaidan #London;"434476048344829952";https://twitter.com/londonmaidan/status/434476048344829952
LWaler;2014-02-14 15:54;0;0;"Canada to Provide Support for Medical Care 4 Ukr Activists http://www. international.gc.ca/media/aff/news -communiques/2014/02/14b.aspx … . Wow! Thank you @HonJohnBaird! Great news for #euromaidan";;@HonJohnBaird;#euromaidan;"434475857877282816";https://twitter.com/LWaler/status/434475857877282816
EBPOMOCKBA;2014-02-14 15:52;0;0;"#Кличко #Euromaidan Prosecutor General's Office of Ukraine followed by a n... http:// fb.me/1UcduokOW #Евромайдан #Майдан";;;# #Euromaidan # #;"434475370071339008";https://twitter.com/EBPOMOCKBA/status/434475370071339008
Becky_Petron;2014-02-14 15:52;0;0;"Ukraine releases remaining protesters #Euromaidan http:// online.wsj.com/news/articles/ SB10001424052702303704304579383061077708196?mg=reno64-wsj&url=http%3A%2F%2Fonline.wsj.com%2Farticle%2FSB10001424052702303704304579383061077708196.html …";;;#Euromaidan;"434475249925500929";https://twitter.com/Becky_Petron/status/434475249925500929
AretaMay;2014-02-14 15:50;0;0;"For the love of #Ukraine is fighting for the freedom and the future of their homeland. #euromaidan #digitalmaidan #ukraine";;;#Ukraine #euromaidan #digitalmaidan #ukraine;"434474644762939392";https://twitter.com/AretaMay/status/434474644762939392
AretaMay;2014-02-14 15:46;0;0;"For the love of #Ukraine #euromaidan #digitalmaidan #ukraine pic.twitter.com/5BHTUOJlFo";;;#Ukraine #euromaidan #digitalmaidan #ukraine;"434473816949944321";https://twitter.com/AretaMay/status/434473816949944321
AretaMay;2014-02-14 15:46;0;0;"For the love of #Ukraine #euromaidan #digitalmaidan #ukraine pic.twitter.com/SejfBveIYX";;;#Ukraine #euromaidan #digitalmaidan #ukraine;"434473640831107072";https://twitter.com/AretaMay/status/434473640831107072
AretaMay;2014-02-14 15:45;0;0;"For the love of #Ukraine #euromaidan #digitalmaidan #ukraine pic.twitter.com/hTaC1C7pr6";;;#Ukraine #euromaidan #digitalmaidan #ukraine;"434473514603511808";https://twitter.com/AretaMay/status/434473514603511808
Tama_Atl;2014-02-14 15:42;4;1;"@HabitatToronto Thank You #Toronto #Canada for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan pic.twitter.com/OS1NXa81F8";;@HabitatToronto;#Toronto #Canada #Ukraine #Euromaidan #love #DigitalMaidan;"434472688787021825";https://twitter.com/Tama_Atl/status/434472688787021825
EuromaidanPR;2014-02-14 15:42;8;2;"Ukrainian girls confess love to #Euromaidan heroes, send 1000 Valentines http:// goo.gl/jHSYVw |PR News #Ukraine";;;#Euromaidan #Ukraine;"434472681207902208";https://twitter.com/EuromaidanPR/status/434472681207902208
AretaMay;2014-02-14 15:35;0;0;"Ukraine Entrepreneur Supply Lines Keep Blockades Fueled http:// bloom.bg/1cCoiE2 via @BloombergNews #euromaidan #digitalmaidan #ukraine";;@BloombergNews;#euromaidan #digitalmaidan #ukraine;"434471017117806592";https://twitter.com/AretaMay/status/434471017117806592
vitaliykulikov;2014-02-14 15:29;0;0;"02.04 #Ukraine radicals: ‘police don’t want to die for Yanukovych’ | euronews, world news http:// bit.ly/MU5l9x #euromaidan #євромайдан";;;#Ukraine #euromaidan #;"434469480618799104";https://twitter.com/vitaliykulikov/status/434469480618799104
goladygo45;2014-02-14 15:24;0;1;"Earth provides enough to satisfy every man's needs, but not every man's greed. - Mahatma Gandhi #Yanukovych #Euromaidan #Ukraine";;;#Yanukovych #Euromaidan #Ukraine;"434468169025986560";https://twitter.com/goladygo45/status/434468169025986560
Tama_Atl;2014-02-14 15:22;1;0;"@tedxottawa ThankYou #Ottawa #Canada for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan pic.twitter.com/CAZaUr8nbi";;@tedxottawa;#Ottawa #Canada #Ukraine #Euromaidan #love #DigitalMaidan;"434467799612678144";https://twitter.com/Tama_Atl/status/434467799612678144
tanyalokot;2014-02-14 15:21;1;0;"A #Euromaidan Valentine via @akymenko_o pic.twitter.com/lsqNVowqxL";;@akymenko_o;#Euromaidan;"434467489393958912";https://twitter.com/tanyalokot/status/434467489393958912
Tama_Atl;2014-02-14 15:19;1;0;"@ottawa_tweetup ThankYou #Ottawa #Canada for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan pic.twitter.com/o2E8XkZ0v2";;@ottawa_tweetup;#Ottawa #Canada #Ukraine #Euromaidan #love #DigitalMaidan;"434466987457011712";https://twitter.com/Tama_Atl/status/434466987457011712
Tama_Atl;2014-02-14 15:18;1;0;"@Senators ThankYou #Ottawa #Canada for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan pic.twitter.com/CrEHHzT4p4";;@Senators;#Ottawa #Canada #Ukraine #Euromaidan #love #DigitalMaidan;"434466781759946752";https://twitter.com/Tama_Atl/status/434466781759946752
Tama_Atl;2014-02-14 15:17;2;0;"@ctvottawa Thank You #Ottawa #Canada for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan pic.twitter.com/XAcpPyGbel";;@ctvottawa;#Ottawa #Canada #Ukraine #Euromaidan #love #DigitalMaidan;"434466331379761153";https://twitter.com/Tama_Atl/status/434466331379761153
Tama_Atl;2014-02-14 15:16;1;0;"@OttawaCitizen ThankYou #Ottawa #Canada for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan pic.twitter.com/lRSUH2MOyI";;@OttawaCitizen;#Ottawa #Canada #Ukraine #Euromaidan #love #DigitalMaidan;"434466086386290688";https://twitter.com/Tama_Atl/status/434466086386290688
Beyond_Violence;2014-02-14 15:15;0;0;"Beyond Violence Calls For Immediate Halt To Violence in #Ukraine #laydownyourarms #euromaidan #ЄвроМайдан http://www. beyondviolence.org/press.php?id=27";;;#Ukraine #laydownyourarms #euromaidan #;"434465887286870017";https://twitter.com/Beyond_Violence/status/434465887286870017
EuroMaidanEN;2014-02-14 15:15;6;3;"Girl: "I want to hear the three most important words..." Boy: "Ukraine without Yanukovych." .. #euromaidan http:// fb.me/2FhdtcnXL";;;#euromaidan;"434465834216333312";https://twitter.com/EuroMaidanEN/status/434465834216333312
Tama_Atl;2014-02-14 15:08;1;0;"@metromontreal #ThankYou #Montreal #Canada for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan pic.twitter.com/b8xWz7SpLW";;@metromontreal;#ThankYou #Montreal #Canada #Ukraine #Euromaidan #love #DigitalMaidan;"434464245518848000";https://twitter.com/Tama_Atl/status/434464245518848000
Tama_Atl;2014-02-14 15:05;1;0;"@uMontreal_news #ThankYou #Montreal #Canada for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan pic.twitter.com/dDHxOjnXSr";;@uMontreal_news;#ThankYou #Montreal #Canada #Ukraine #Euromaidan #love #DigitalMaidan;"434463381815193600";https://twitter.com/Tama_Atl/status/434463381815193600
EuroMaidanEN;2014-02-14 15:00;1;1;"Love at the Maidan.. #euromaidan http:// fb.me/2xoGqX6hL";;;#euromaidan;"434462061641629697";https://twitter.com/EuroMaidanEN/status/434462061641629697
goladygo45;2014-02-14 14:59;2;3;"@TarasKuzio Thank you for this excellent panel discussion regarding the crisis in #Ukraine http:// youtu.be/8IuHGsKhiXo #Euromaidan";;@TarasKuzio;#Ukraine #Euromaidan;"434461958348107777";https://twitter.com/goladygo45/status/434461958348107777
Tama_Atl;2014-02-14 14:59;0;1;"@CBCMontreal #ThankYou #Montreal #Canada for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan pic.twitter.com/bqyzOmWXHC";;@CBCMontreal;#ThankYou #Montreal #Canada #Ukraine #Euromaidan #love #DigitalMaidan;"434461932519559168";https://twitter.com/Tama_Atl/status/434461932519559168
euromaidan;2014-02-14 14:59;15;6;"Canada to Provide Support for Medical Care for Ukrainian Activists http://www. international.gc.ca/media/aff/news -communiques/2014/02/14b.aspx … #Євромайдан #Евромайдан #Euromaidan";;;# # #Euromaidan;"434461883626553344";https://twitter.com/euromaidan/status/434461883626553344
olgatokariuk;2014-02-14 14:53;4;1;"Lawyers, beaten activist Lutsenko object freeing buildings, streets - means #euromaidan accepts gov.t blackmail, police impunity #Ukraine";;;#euromaidan #Ukraine;"434460511523336192";https://twitter.com/olgatokariuk/status/434460511523336192
A_Kyryliuk;2014-02-14 14:49;0;0;"All talks about rollback to Constitution2004 in #Kyiv looks so stupid! Does it really change anything for #Yanukovych team? #Euromaidan";;;#Kyiv #Yanukovych #Euromaidan;"434459471218475008";https://twitter.com/A_Kyryliuk/status/434459471218475008
Shoutout_UK;2014-02-14 14:43;1;0;"Protestors on #euromaidan wish the world a happy valentine’s day #ukraineprotests #Ukraine #ValentinesDay";;;#euromaidan #ukraineprotests #Ukraine #ValentinesDay;"434457900497784832";https://twitter.com/Shoutout_UK/status/434457900497784832
CWynnykWilson;2014-02-14 14:42;2;2;"#ThankYou #PONTIFEX #PopeFrancis for #supporting #Ukraine #Euromaidan Sending our #love pic.twitter.com/Yws5jYWxZC";;;#ThankYou #PONTIFEX #PopeFrancis #supporting #Ukraine #Euromaidan #love;"434457725913686017";https://twitter.com/CWynnykWilson/status/434457725913686017
FollowingNick;2014-02-14 14:42;0;0;"@EuromaidanPR the sarcasm of using word terrorism does not sound appropriate here or any other posts on #euromaidan it's just inappropriate.";;@EuromaidanPR;#euromaidan;"434457715742892032";https://twitter.com/FollowingNick/status/434457715742892032
UNISdirect;2014-02-14 14:41;1;1;"State Dep't issues situation on #Ukraine #EuroMaidan "De-escalation of Tensions in Ukraine" http://www. state.gov/r/pa/prs/ps/20 14/02/221673.htm#.Uv6bbRwQKSg … Support is building.";;;#Ukraine #EuroMaidan #;"434457522947100672";https://twitter.com/UNISdirect/status/434457522947100672
EuromaidanPR;2014-02-14 14:41;5;1;"#Ukraine needs a hero! #EuroMaidan #Kyiv http:// youtu.be/VZFGmiypnFk via @youtube";;@youtube;#Ukraine #EuroMaidan #Kyiv;"434457470249869312";https://twitter.com/EuromaidanPR/status/434457470249869312
olgatokariuk;2014-02-14 14:40;0;0;"@APHClarkson #Tymoshenko talked about this already in her fresh interview, of giving them guarantees. I think #euromaidan can agree on that";;@APHClarkson;#Tymoshenko #euromaidan;"434457028522934272";https://twitter.com/olgatokariuk/status/434457028522934272
marlawd;2014-02-14 14:39;1;1;"RT @ukrcancongress Canada to Provide Support for Medical Care for Ukrainian Activists http:// bit.ly/MkCZVT #Ukraine #Euromaidan #Canada";Toronto, Ontario;@ukrcancongress;#Ukraine #Euromaidan #Canada;"434456945043320833";https://twitter.com/marlawd/status/434456945043320833
APHClarkson;2014-02-14 14:38;1;0;"@olgatokariuk so even in the best case scenario, there will be enough messy details to irritate many #euromaidan activists.";;@olgatokariuk;#euromaidan;"434456623856484352";https://twitter.com/APHClarkson/status/434456623856484352
Beyond_Violence;2014-02-14 14:37;0;1;"#Ukraine : Streaming scenes from the streets #laydownyourarms #Euromaidan #BVeuromaidan http://www. aljazeera.com/indepth/featur es/2014/02/ukraine-streaming-scenes-from-streets-2014214205747633548.html …";;;#Ukraine #laydownyourarms #Euromaidan #BVeuromaidan;"434456376270929920";https://twitter.com/Beyond_Violence/status/434456376270929920
Tama_Atl;2014-02-14 14:37;0;0;"#ThankYou #RioDeJaneiro #Brazil for supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan #ValentinesDay pic.twitter.com/UNWfLc2FYi";;;#ThankYou #RioDeJaneiro #Brazil #Ukraine #Euromaidan #love #DigitalMaidan #ValentinesDay;"434456322377908224";https://twitter.com/Tama_Atl/status/434456322377908224
EuroMaydan;2014-02-14 14:36;2;0;"#EuroMaidan in Toulouse on February 15. http:// fb.me/3qqAotZrW";;;#EuroMaidan;"434456123639615488";https://twitter.com/EuroMaydan/status/434456123639615488
olgatokariuk;2014-02-14 14:35;0;0;"@APHClarkson such a pity protesters who have been freezing on the streets for months are unaware of any deal #Ukraine #euromaidan";;@APHClarkson;#Ukraine #euromaidan;"434455959470366720";https://twitter.com/olgatokariuk/status/434455959470366720
Tama_Atl;2014-02-14 14:35;0;1;"#ThankYou #Brussels #Belgium for #supporting #Ukraine #Euromaidan Sending #love from #DigitalMaidan #ValentinesDay pic.twitter.com/PGlllaAZeu";;;#ThankYou #Brussels #Belgium #supporting #Ukraine #Euromaidan #love #DigitalMaidan #ValentinesDay;"434455891203473408";https://twitter.com/Tama_Atl/status/434455891203473408
ulvdis;2014-02-14 14:34;2;1;"#Ukraine :Social media and new technologies are putting Kiev's crisis coverage in protesters' hands. #euromaidan pic.twitter.com/RVzLrc7Rw3";;;#Ukraine #euromaidan;"434455563695435776";https://twitter.com/ulvdis/status/434455563695435776
CWynnykWilson;2014-02-14 14:34;1;0;"#ThankYou #HaydenPanattiere for #supporting #Ukraine #Euromaidan Sending our #love pic.twitter.com/fWwNEU2461";;;#ThankYou #HaydenPanattiere #supporting #Ukraine #Euromaidan #love;"434455559270432768";https://twitter.com/CWynnykWilson/status/434455559270432768
Beyond_Violence;2014-02-14 14:33;1;0;"#Russia 's Lavrov warns West against interference in #Ukraine #laydownyourarms #Euromaidan #BVeuromaidan http:// uk.reuters.com/video/2014/02/ 14/russias-lavrov-warns-west-against-interf?rpc=401&videoId=277343708&feedType=VideoRSS&feedName=TopNews&rpc=401&videoChannel=1 …";;;#Russia #Ukraine #laydownyourarms #Euromaidan #BVeuromaidan;"434455504673570816";https://twitter.com/Beyond_Violence/status/434455504673570816
CWynnykWilson;2014-02-14 14:33;2;1;"#ThankYou #MillaJovovich for #supporting #Ukraine #Euromaidan Sending our #love pic.twitter.com/UiSPA07wuM";;;#ThankYou #MillaJovovich #supporting #Ukraine #Euromaidan #love;"434455410766917632";https://twitter.com/CWynnykWilson/status/434455410766917632
SingingDDS;2014-02-14 14:33;1;2;"Thank you all who have supported the freedom loving people of #Ukraine ! #Euromaidan #digitalmaidan #ValentinesDay pic.twitter.com/fyAVJo6iih";;;#Ukraine #Euromaidan #digitalmaidan #ValentinesDay;"434455379523932160";https://twitter.com/SingingDDS/status/434455379523932160
uamuzik;2014-02-14 14:33;0;0;"@sitemaidan_eng our beloved ones for your neck of the woods.. Pls RT #Euromaidan pic.twitter.com/oU2ny07KKP";;@sitemaidan_eng;#Euromaidan;"434455264750604288";https://twitter.com/uamuzik/status/434455264750604288
CWynnykWilson;2014-02-14 14:32;4;1;"#ThankYou #GeorgeClooney for #supporting #Ukraine #Euromaidan Sending our #love";;;#ThankYou #GeorgeClooney #supporting #Ukraine #Euromaidan #love;"434455122735681537";https://twitter.com/CWynnykWilson/status/434455122735681537
Beyond_Violence;2014-02-14 14:32;0;0;"#Ukraine leader calls for concessions as protesters freed #laydownyourarms #Euromaidan #BVeuromaidan #kyiv http://www. eubusiness.com/news-eu/ukrain e-unrest.tu6 …";;;#Ukraine #laydownyourarms #Euromaidan #BVeuromaidan #kyiv;"434455121947525121";https://twitter.com/Beyond_Violence/status/434455121947525121
CWynnykWilson;2014-02-14 14:30;3;1;"#ThankYou #verafarmiga for #supporting #Ukraine #Euromaidan Sending our #love";;;#ThankYou #verafarmiga #supporting #Ukraine #Euromaidan #love;"434454661932650497";https://twitter.com/CWynnykWilson/status/434454661932650497
EastOfBrussels;2014-02-14 14:30;2;1;"#Ukraine : people behind anti- #Euromaidan , pro- #Kremlin misinformation campaign #sochi2014 #france #putin #usa #sochi pic.twitter.com/6WloD73lTa";;;#Ukraine #Euromaidan #Kremlin #sochi2014 #france #putin #usa #sochi;"434454592798326784";https://twitter.com/EastOfBrussels/status/434454592798326784
EastOfBrussels;2014-02-14 14:29;3;0;"#Russia state media propaganda again exposed #dyukov #euromaidan #putin #latvia #lithuania #estonia #sochi2014 #eu pic.twitter.com/dh0kiZp40l";;;#Russia #dyukov #euromaidan #putin #latvia #lithuania #estonia #sochi2014 #eu;"434454268633186304";https://twitter.com/EastOfBrussels/status/434454268633186304
olgatokariuk;2014-02-14 14:28;1;2;"It seems now oppo Svoboda party is liberating city council building taken by #Euromaidan . Who still considers them as radicals? #Ukraine";;;#Euromaidan #Ukraine;"434454026705707008";https://twitter.com/olgatokariuk/status/434454026705707008
ulvdis;2014-02-14 14:27;0;0;"#Ukraine : Streaming scenes from the streets http:// uk.news.yahoo.com/ukraine-stream ing-scenes-streets-213315106.html#ve5HyxD … #euromaidan #news #media #noticias #nachrichten pic.twitter.com/GzKmPMy02Q";;;#Ukraine #ve5HyxD #euromaidan #news #media #noticias #nachrichten;"434453920560058368";https://twitter.com/ulvdis/status/434453920560058368
EastOfBrussels;2014-02-14 14:26;3;0;"khpg(UA): #Ukraine : "Waiting for more bloodshed?" http:// khpg.org/en/index.php?i d=1392329763 … #euromaidan #digitalmaidan #europe #sochi2014 #usa #yanukovych";;;#Ukraine #euromaidan #digitalmaidan #europe #sochi2014 #usa #yanukovych;"434453690771312641";https://twitter.com/EastOfBrussels/status/434453690771312641
Freedom4Ukraine;2014-02-14 14:24;1;0;"#AutoMaidan activist killed & burned in his car in #Zaporizhia #Ukraine #EuroMaidan #Євромайдан #Україна #Запорожье #Украина #Евромайдан";;;#AutoMaidan #Zaporizhia #Ukraine #EuroMaidan # # # # #;"434453139970723841";https://twitter.com/Freedom4Ukraine/status/434453139970723841
EastOfBrussels;2014-02-14 14:23;5;1;"khpg(UA): #Ukraine : #Donetsk regime thugs attack civic activists,police arrests the activists http:// khpg.org/en/index.php?i d=1392326536 … #euromaidan #repression";;;#Ukraine #Donetsk #euromaidan #repression;"434452935528181760";https://twitter.com/EastOfBrussels/status/434452935528181760
ulvdis;2014-02-14 14:23;1;2;"Canada to Provide Support for Medical Care for Ukrainian Activists http://www. international.gc.ca/media/aff/news -communiques/2014/02/14b.aspx … #euromaidan #medicine #support #ukraine #news";;;#euromaidan #medicine #support #ukraine #news;"434452743600623616";https://twitter.com/ulvdis/status/434452743600623616
uamuzik;2014-02-14 14:22;11;5;"To all those who have spreading lies about the protests in #Ukraine . Watch this carefully http://www. rferl.org/media/video/eu romaidan-community/25263622.html … #Euromaidan";Montréal, Québec;;#Ukraine #Euromaidan;"434452570392633344";https://twitter.com/uamuzik/status/434452570392633344
EastOfBrussels;2014-02-14 14:21;3;1;"khpg(UA): #Ukraine : " #Maidan Self-Defense activists prosecuted for catching a thief" http:// khpg.org/en/index.php?i d=1392239914 … #euromaidan #sham #dictatorship";;;#Ukraine #Maidan #euromaidan #sham #dictatorship;"434452349684572161";https://twitter.com/EastOfBrussels/status/434452349684572161
VoicesOutside;2014-02-14 14:20;2;0;"Valentines Day in the Maidan RT @Leha2010 : Love the extremists #Euromaidan #Евромайдан #Євромайдан pic.twitter.com/ZXErYIbVkh";;@Leha2010;#Euromaidan # #;"434452228355928065";https://twitter.com/VoicesOutside/status/434452228355928065
EastOfBrussels;2014-02-14 14:20;2;0;"khpg(UA): #Ukraine : " #Kyiv judge who didn’t remand 4 student protesters loses her post" http:// khpg.org/en/index.php?i d=1392122793 … #sochi2014 #euromaidan #putin";;;#Ukraine #Kyiv #sochi2014 #euromaidan #putin;"434452064765509632";https://twitter.com/EastOfBrussels/status/434452064765509632
DarthPutinKGB;2014-02-14 14:19;1;2;"Lace Panties Banned in Eurasian Customs Union!! #Euromaidan protestors to start manning the walls in banned but sexy underwear!!!";;;#Euromaidan;"434451925577506816";https://twitter.com/DarthPutinKGB/status/434451925577506816
Euromaidan__ENG;2014-02-14 14:14;23;1;"In city of Zaporizz’a #euromaidan protester burnt to death while in vehicle. His car was shot at and caught on fire. http:// bit.ly/M147IL";;;#euromaidan;"434450635837022208";https://twitter.com/Euromaidan__ENG/status/434450635837022208
euromaidan;2014-02-14 14:13;7;4;"Foreigners on Euromaidan: Who came to Kyiv to join Euromaidan? http:// youtu.be/O-q7jkqX9r8 #Євромайдан #Евромайдан #Euromaidan";;;# # #Euromaidan;"434450359281393665";https://twitter.com/euromaidan/status/434450359281393665
GHulsens;2014-02-14 14:12;2;1;"#Breaking : An automaidan protester was killed, burned in his car in #Zaporizhzhya #Kiev #Ukraine #Euromaidan http://www. pravda.com.ua/news/2014/02/1 4/7013947/ …";;;#Breaking #Zaporizhzhya #Kiev #Ukraine #Euromaidan;"434450211100839936";https://twitter.com/GHulsens/status/434450211100839936
BartschUdo;2014-02-14 14:09;0;0;"Finally, she makes me proud: Chancellor Merkel to Host #Ukraine Opposition #Euromaidan - Bloomberg via @BloombergNow http:// bloom.bg/1f0IfZm";;@BloombergNow;#Ukraine #Euromaidan;"434449348999794688";https://twitter.com/BartschUdo/status/434449348999794688
EuromaidanPR;2014-02-14 14:07;8;1;"Foreigners on #Euromaidan : who and why came to #Kyiv to support Ukrainians in their fighting for demoracy! http:// youtu.be/O-q7jkqX9r8 #Ukraine";;;#Euromaidan #Kyiv #Ukraine;"434448821972520960";https://twitter.com/EuromaidanPR/status/434448821972520960
Ukroblogger;2014-02-14 13:58;12;11;"https://twitter.com/rpuzyrevsky/status/434441373035798528/photo/1 pic.twitter.com/hiFfFO1RHi #Euromaidan Women's Hundred version of Rosie the Riveter ('We can do it!') #Ukraine #Євромайдан MT @rpuzyrevsky";;@rpuzyrevsky;#Euromaidan #Ukraine #;"434446522315321344";https://twitter.com/Ukroblogger/status/434446522315321344
paulmeyer745;2014-02-14 13:53;2;2;"“ @pikester45 : “ @hempoilcures : #EuroMaidan Libs take note! pic.twitter.com/PQBKoC6IyZ #Kiev #Ukraine #anon v @USAlivestrong @dariusaleksas ””";;@pikester45 @hempoilcures @USAlivestrong @dariusaleksas;#EuroMaidan #Kiev #Ukraine #anon;"434445216842801152";https://twitter.com/paulmeyer745/status/434445216842801152
Ukroblogger;2014-02-14 13:51;2;0;"#Yanukovych sooo out-of date: #Euromaidan was driven by #EU -'romanticism,' 'sentiment among people was at odds w/ that among product makers'";;;#Yanukovych #Euromaidan #EU;"434444811676831744";https://twitter.com/Ukroblogger/status/434444811676831744
EuromaidanPR;2014-02-14 13:51;6;3;"Two nights before the attack by Berkut, this was #euromaidan , full of hope and peace: http:// youtu.be/XfI-ZukxPcU |PR Video #ukraineprotests";Ukraine;;#euromaidan #ukraineprotests;"434444738238758913";https://twitter.com/EuromaidanPR/status/434444738238758913
mozgovaya;2014-02-14 13:50;6;2;"StateDep: " #US welcomes 2day’s announcement in #Ukraine of the release of all those detained in the #EuroMaidan protests..."";;;#US #Ukraine #EuroMaidan;"434444545107845120";https://twitter.com/mozgovaya/status/434444545107845120
HannahThoburn;2014-02-14 13:50;5;1;"In Zaporizhya, #Ukraine , an #AutoMaidan activist was apparently killed and burned in his car. #EuroMaidan #євромайдан http://www. pravda.com.ua/news/2014/02/1 4/7013947/ …";;;#Ukraine #AutoMaidan #EuroMaidan #;"434444481736097792";https://twitter.com/HannahThoburn/status/434444481736097792
CWynnykWilson;2014-02-14 13:48;5;4;"HAPPY VALENTINES DAY in #Ukraine chocolate 4 the protectors of the protesters! #euromaidan #ValentinesDay pic.twitter.com/2tqDZeL6Kg";;;#Ukraine #euromaidan #ValentinesDay;"434444032043790337";https://twitter.com/CWynnykWilson/status/434444032043790337
EastOfBrussels;2014-02-14 13:48;2;1;"Gov't: " #Canada to Provide Support for Medical Care for #Ukrainian Activists" http:// news.gc.ca/web/article-en .do?nid=815719 … #ukraine #euromaidan #sochi2014 #europe";;;#Canada #Ukrainian #ukraine #euromaidan #sochi2014 #europe;"434444021982044161";https://twitter.com/EastOfBrussels/status/434444021982044161
EastOfBrussels;2014-02-14 13:47;0;1;"Trend(AZ): " #Yanukovich : #Ukraine ’s federalization not on agenda" http:// en.trend.az/news/incident/ 2242297.html … #euromaidan #russia #putin #europe #usa #imperialism";;;#Yanukovich #Ukraine #euromaidan #russia #putin #europe #usa #imperialism;"434443759703838720";https://twitter.com/EastOfBrussels/status/434443759703838720
CWynnykWilson;2014-02-14 13:46;0;0;"BULATOV nightmare continues in #Ukraine death threats vs his family http:// bit.ly/1dQxVyH #euromaidan @VP @hrw @Kasparov63 @StefanFuleEU";;@VP @hrw @Kasparov63 @StefanFuleEU;#Ukraine #euromaidan;"434443508670140416";https://twitter.com/CWynnykWilson/status/434443508670140416
HCMess;2014-02-14 13:45;0;0;"Powerful. Makes us understand the sacrifice #Ukraine #Euromaidan http:// m.youtube.com/watch?feature= youtu.be&v=Z6tgh7nm2Ek&desktop_uri=%2Fwatch%3Fv%3DZ6tgh7nm2Ek%26feature%3Dyoutu.be …";;;#Ukraine #Euromaidan;"434443189966344192";https://twitter.com/HCMess/status/434443189966344192
PylypivnaA;2014-02-14 13:41;0;0;"Happy Valentine's Day! #ua #ukraine #revolution #eu #euromaidan #kiev #kyiv #hrushevskogo … http:// instagram.com/p/kaXU8-HK_-/";;;#ua #ukraine #revolution #eu #euromaidan #kiev #kyiv #hrushevskogo;"434442252539412480";https://twitter.com/PylypivnaA/status/434442252539412480
sofiebedford;2014-02-14 13:35;0;0;"Time to get in the Volvo... RT @EuromaidanPR : #automaidan #stockholm https://www. facebook.com/events/7398499 36054705/ … Join today! #Euromaidan pic.twitter.com/PlBa38ODhq";;@EuromaidanPR;#automaidan #stockholm #Euromaidan;"434440719756193794";https://twitter.com/sofiebedford/status/434440719756193794
EastOfBrussels;2014-02-14 13:32;2;0;"KyivPost(UA): #Ukraine : "President, opposition cook deals over amnesty, coalition government" http://www. kyivpost.com/content/politi cs/president-opposition-cook-deals-over-amnesty-coalition-government-336871.html … #euromaidan #yanukovych";;;#Ukraine #euromaidan #yanukovych;"434440073816604672";https://twitter.com/EastOfBrussels/status/434440073816604672
TallyAnnaE;2014-02-14 13:31;0;0;"Vladimir Putin 'would welcome closer ties between EU and #Ukraine ' | via @Telegraph http:// fw.to/KjRMYrG #Euromaidan #DigitalMaidan";;@Telegraph;#Ukraine #Euromaidan #DigitalMaidan;"434439878063828992";https://twitter.com/TallyAnnaE/status/434439878063828992
Ukroblogger;2014-02-14 13:30;3;1;"http://www. youtube.com/watch?v=aLKkRg eu4bU … Happy #ValentinesDay fr #Euromaidan ! So many sky lanterns here in #Kyiv tonight. #Hrushevskoho #Ukraine #Євромайдан";;;#ValentinesDay #Euromaidan #Kyiv #Hrushevskoho #Ukraine #;"434439438303653888";https://twitter.com/Ukroblogger/status/434439438303653888
EuroMaidanEN;2014-02-14 13:30;0;0;"Time is running out.. #euromaidan http:// fb.me/1mGHD0MbZ";;;#euromaidan;"434439411905077248";https://twitter.com/EuroMaidanEN/status/434439411905077248
CWynnykWilson;2014-02-14 13:25;0;0;"#DigitalMaidan #EuroMaidan #Ukraine @ATXBeyondCoal #Solar #NOKXL it's busy being an activist";;@ATXBeyondCoal;#DigitalMaidan #EuroMaidan #Ukraine #Solar #NOKXL;"434438345804881921";https://twitter.com/CWynnykWilson/status/434438345804881921
AlexPanchenko2;2014-02-14 13:22;0;0;"It appears that #Zaporizhzhia activist murdered 2 days b4 major #euromaidan rally in the city. #UkraineCivilWar";;;#Zaporizhzhia #euromaidan #UkraineCivilWar;"434437607561633792";https://twitter.com/AlexPanchenko2/status/434437607561633792
Kateryna_Kruk;2014-02-14 13:22;5;0;"more and more signals that Svoboda seems to leave City Hall, some say till morning it will be free.... #Euromaidan";;;#Euromaidan;"434437602481946624";https://twitter.com/Kateryna_Kruk/status/434437602481946624
